scenario_id,replicate_id,realised_kappa,misclass_primary_to_secondary,misclass_secondary_to_primary,net_primary_rate,unsafe_secondary_rate,over_escalation_rate,over_escalation_burden_hours_per_100,n_latent_primary,n_latent_secondary
3,0,0.4958085287328391,0.0,0.08535300316122234,0.132,0.0,0.08535300316122234,6.75,51,949
3,1,0.5452714729306605,0.0,0.07457983193277311,0.119,0.0,0.07457983193277311,5.916666666666666,48,952
3,2,0.5175699821322219,0.0,0.08928571428571429,0.133,0.0,0.08928571428571429,7.083333333333333,48,952
3,3,0.5254245868030071,0.0,0.07692307692307693,0.124,0.0,0.07692307692307693,6.083333333333333,51,949
3,4,0.5634569150955336,0.0,0.06984126984126984,0.121,0.0,0.06984126984126984,5.5,55,945
3,5,0.49887387387387366,0.0,0.08926673751328375,0.143,0.0,0.08926673751328375,7.0,59,941
3,6,0.49708197011229976,0.0,0.09725158562367865,0.146,0.0,0.09725158562367865,7.666666666666666,54,946
3,7,0.5509057787673313,0.0,0.07773109243697479,0.122,0.0,0.07773109243697479,6.166666666666667,48,952
3,8,0.42988156249233705,0.0,0.09717868338557993,0.136,0.0,0.09717868338557993,7.749999999999999,43,957
3,9,0.36998559967084943,0.0,0.10351966873706005,0.134,0.0,0.10351966873706005,8.333333333333334,34,966
3,10,0.5734586079558733,0.0,0.07454739084132056,0.131,0.0,0.07454739084132056,5.833333333333333,61,939
3,11,0.4820785912537682,0.0,0.08150470219435736,0.121,0.0,0.08150470219435736,6.5,43,957
3,12,0.4896086617424417,0.0,0.09483667017913593,0.141,0.0,0.09483667017913593,7.499999999999998,51,949
3,13,0.5165812626897417,0.018867924528301886,0.08342133051742344,0.131,0.018867924528301886,0.08342133051742344,6.583333333333332,53,947
3,14,0.5303234896964715,0.0,0.08842105263157894,0.134,0.0,0.08842105263157894,7.0,50,950
3,15,0.4907475580425072,0.0,0.08909853249475891,0.131,0.0,0.08909853249475891,7.083333333333333,46,954
3,16,0.551258747614287,0.0,0.07995735607675906,0.137,0.0,0.07995735607675906,6.25,62,938
3,17,0.49994766894209836,0.0,0.09071729957805907,0.138,0.0,0.09071729957805907,7.166666666666667,52,948
3,18,0.5141095122407024,0.0,0.08298319327731092,0.127,0.0,0.08298319327731092,6.583333333333332,48,952
3,19,0.50919364106493,0.0,0.08832807570977919,0.133,0.0,0.08832807570977919,7.0,49,951
3,20,0.38573315719947127,0.0,0.09553478712357218,0.129,0.0,0.09553478712357218,7.666666666666668,37,963
3,21,0.473330863968886,0.0,0.09674027339642481,0.141,0.0,0.09674027339642481,7.666666666666666,49,951
3,22,0.5145449792748051,0.0,0.08298319327731092,0.127,0.0,0.08298319327731092,6.583333333333332,48,952
3,23,0.4257425742574254,0.0,0.08768267223382047,0.126,0.0,0.08768267223382047,7.0,42,958
3,24,0.46952653645567033,0.0,0.08682008368200837,0.127,0.0,0.08682008368200837,6.916666666666668,44,956
3,25,0.5084560913042812,0.0,0.06749740394600208,0.102,0.0,0.06749740394600208,5.416666666666667,37,963
3,26,0.5311523234007088,0.0,0.0818278427205101,0.136,0.0,0.0818278427205101,6.416666666666666,59,941
3,27,0.5109293700498578,0.0,0.07820646506777894,0.116,0.0,0.07820646506777894,6.249999999999999,41,959
3,28,0.4657032363118261,0.0,0.0859538784067086,0.128,0.0,0.0859538784067086,6.833333333333332,46,954
3,29,0.429471853944795,0.0,0.08446298227320125,0.122,0.0,0.08446298227320125,6.749999999999998,41,959
3,30,0.508495145631068,0.0,0.08236536430834214,0.131,0.0,0.08236536430834214,6.5,53,947
3,31,0.3981145757795503,0.0,0.08677685950413223,0.116,0.0,0.08677685950413223,7.0,32,968
3,32,0.5436774662999646,0.0,0.07415254237288135,0.126,0.0,0.07415254237288135,5.833333333333332,56,944
3,33,0.43001723850303086,0.0,0.08324661810613944,0.119,0.0,0.08324661810613944,6.666666666666667,39,961
3,34,0.4513016645660392,0.0,0.1027542372881356,0.153,0.0,0.1027542372881356,8.083333333333332,56,944
3,35,0.49939561177519226,0.0,0.08333333333333333,0.131,0.0,0.08333333333333333,6.583333333333333,52,948
3,36,0.5286154589955886,0.0,0.08421052631578947,0.13,0.0,0.08421052631578947,6.666666666666667,50,950
3,37,0.5025156877155296,0.0,0.09398099260823653,0.142,0.0,0.09398099260823653,7.416666666666666,53,947
3,38,0.4897842188539063,0.0,0.091005291005291,0.141,0.0,0.091005291005291,7.166666666666667,55,945
3,39,0.41473282269245615,0.0,0.10796645702306079,0.149,0.0,0.10796645702306079,8.583333333333334,46,954
3,40,0.4214289613012387,0.0,0.1095890410958904,0.155,0.0,0.1095890410958904,8.666666666666664,51,949
3,41,0.46742821858598377,0.0,0.0695742471443406,0.104,0.0,0.0695742471443406,5.583333333333332,37,963
3,42,0.37059415911379634,0.0,0.10010427528675704,0.137,0.0,0.10010427528675704,8.0,41,959
3,43,0.5962389380530975,0.0,0.08093716719914804,0.137,0.0,0.08093716719914804,6.333333333333333,61,939
3,44,0.48579011390025423,0.0,0.09639830508474577,0.147,0.0,0.09639830508474577,7.583333333333333,56,944
3,45,0.46952653645567033,0.0,0.08394543546694648,0.127,0.0,0.08394543546694648,6.666666666666666,47,953
3,46,0.46715186171940976,0.0,0.08663883089770355,0.125,0.0,0.08663883089770355,6.916666666666668,42,958
3,47,0.5324946570817951,0.0,0.0821917808219178,0.129,0.0,0.0821917808219178,6.499999999999999,51,949
3,48,0.48168624740843147,0.0,0.0938818565400844,0.141,0.0,0.0938818565400844,7.416666666666667,52,948
3,49,0.4913530010172938,0.0,0.0819327731092437,0.126,0.0,0.0819327731092437,6.499999999999999,48,952
3,50,0.5413609072715144,0.0,0.08333333333333333,0.131,0.0,0.08333333333333333,6.583333333333333,52,948
3,51,0.5117485505035094,0.0,0.08130939809926083,0.13,0.0,0.08130939809926083,6.416666666666666,53,947
3,52,0.4936597393448395,0.018518518518518517,0.09936575052854123,0.147,0.018518518518518517,0.09936575052854123,7.833333333333333,54,946
3,53,0.4894464852748895,0.0,0.09081419624217119,0.129,0.0,0.09081419624217119,7.249999999999999,42,958
3,54,0.6373439067732066,0.0,0.06489361702127659,0.121,0.0,0.06489361702127659,5.083333333333333,60,940
3,55,0.5230662504335761,0.0,0.08105263157894736,0.127,0.0,0.08105263157894736,6.416666666666666,50,950
3,56,0.505870025956707,0.0,0.0874604847207587,0.134,0.0,0.0874604847207587,6.916666666666666,51,949
3,57,0.4834468185019955,0.0,0.09263157894736843,0.138,0.0,0.09263157894736843,7.333333333333334,50,950
3,58,0.5058722429103408,0.0,0.0709812108559499,0.11,0.0,0.0709812108559499,5.666666666666667,42,958
3,59,0.4152806652806649,0.0,0.0945945945945946,0.129,0.0,0.0945945945945946,7.583333333333334,38,962
3,60,0.5930119545145304,0.0,0.06808510638297872,0.124,0.0,0.06808510638297872,5.333333333333333,60,940
3,61,0.4103211664919469,0.0,0.10344827586206896,0.142,0.0,0.10344827586206896,8.25,43,957
3,62,0.5165886423773666,0.0,0.07983193277310924,0.124,0.0,0.07983193277310924,6.333333333333332,48,952
3,63,0.5035547928413825,0.0,0.0899581589958159,0.13,0.0,0.0899581589958159,7.166666666666667,44,956
3,64,0.5077355836849508,0.0,0.07886435331230283,0.124,0.0,0.07886435331230283,6.249999999999999,49,951
3,65,0.5121951219512195,0.0,0.08130939809926083,0.13,0.0,0.08130939809926083,6.416666666666666,53,947
3,66,0.5205294435440302,0.0,0.07531380753138076,0.116,0.0,0.07531380753138076,6.0,44,956
3,67,0.47191156278971524,0.0,0.09272918861959958,0.139,0.0,0.09272918861959958,7.333333333333332,51,949
3,68,0.4801929330415968,0.0,0.08937960042060988,0.134,0.0,0.08937960042060988,7.083333333333333,49,951
3,69,0.44692814674839837,0.0,0.10178384050367262,0.144,0.0,0.10178384050367262,8.083333333333334,47,953
3,70,0.5007698970262725,0.01818181818181818,0.0835978835978836,0.133,0.01818181818181818,0.0835978835978836,6.583333333333333,55,945
3,71,0.4862544524614122,0.0,0.09206349206349207,0.142,0.0,0.09206349206349207,7.250000000000001,55,945
3,72,0.439301244751237,0.0,0.09309623430962342,0.133,0.0,0.09309623430962342,7.416666666666666,44,956
3,73,0.6012074212231276,0.0,0.0669500531349628,0.122,0.0,0.0669500531349628,5.249999999999999,59,941
3,74,0.6416075420351829,0.0,0.06482465462274177,0.12,0.0,0.06482465462274177,5.083333333333333,59,941
3,75,0.5195647140541791,0.0,0.0858050847457627,0.137,0.0,0.0858050847457627,6.749999999999998,56,944
3,76,0.5313444248486123,0.0,0.07911392405063292,0.127,0.0,0.07911392405063292,6.25,52,948
3,77,0.5202234908295883,0.0,0.08227848101265822,0.13,0.0,0.08227848101265822,6.499999999999999,52,948
3,78,0.4192878419369821,0.0,0.09015544041450778,0.122,0.0,0.09015544041450778,7.250000000000001,35,965
3,79,0.514736395885857,0.0,0.08926673751328375,0.143,0.0,0.08926673751328375,7.0,59,941
3,80,0.5474908366894433,0.0,0.08102345415778252,0.138,0.0,0.08102345415778252,6.333333333333333,62,938
3,81,0.508482006456155,0.0,0.0794148380355277,0.119,0.0,0.0794148380355277,6.333333333333333,43,957
3,82,0.5175472725857901,0.0,0.06347554630593132,0.1,0.0,0.06347554630593132,5.083333333333332,39,961
3,83,0.49869069805845856,0.0,0.08668076109936575,0.136,0.0,0.08668076109936575,6.833333333333332,54,946
3,84,0.39568096888373666,0.0,0.10114702815432743,0.138,0.0,0.10114702815432743,8.083333333333332,41,959
3,85,0.47847641486280856,0.0,0.08919202518363065,0.132,0.0,0.08919202518363065,7.083333333333333,47,953
3,86,0.4542757232171242,0.0,0.10887949260042283,0.157,0.0,0.10887949260042283,8.583333333333334,54,946
3,87,0.4653309320126066,0.0,0.07716371220020855,0.115,0.0,0.07716371220020855,6.166666666666667,41,959
3,88,0.5117485505035094,0.02,0.08526315789473685,0.13,0.02,0.08526315789473685,6.75,50,950
3,89,0.5066600888011838,0.0,0.08412197686645637,0.129,0.0,0.08412197686645637,6.666666666666667,49,951
3,90,0.522482204133305,0.0,0.0911983032873807,0.143,0.0,0.0911983032873807,7.166666666666667,57,943
3,91,0.5542949756888169,0.0,0.07970244420828905,0.134,0.0,0.07970244420828905,6.249999999999999,59,941
3,92,0.46027928838848925,0.0,0.08324661810613944,0.119,0.0,0.08324661810613944,6.666666666666667,39,961
3,93,0.5796994851318695,0.0,0.06743940990516333,0.115,0.0,0.06743940990516333,5.333333333333332,51,949
3,94,0.48027551659361273,0.0,0.08604407135362015,0.129,0.0,0.08604407135362015,6.833333333333332,47,953
3,95,0.5068060761491419,0.0,0.0870020964360587,0.129,0.0,0.0870020964360587,6.916666666666666,46,954
3,96,0.5451237263464341,0.0,0.07457983193277311,0.119,0.0,0.07457983193277311,5.916666666666666,48,952
3,97,0.518126295735978,0.0,0.08820403825717323,0.142,0.0,0.08820403825717323,6.916666666666668,59,941
3,98,0.5231750013063702,0.0,0.07756813417190776,0.12,0.0,0.07756813417190776,6.166666666666667,46,954
3,99,0.5211702598848416,0.0,0.08535300316122234,0.132,0.0,0.08535300316122234,6.75,51,949
