target_kappa,base_rate_primary,n_thresholds,n_replicates,realised_kappa_mean,realised_kappa_mcse,misclass_primary_to_secondary_mean,misclass_primary_to_secondary_mcse,misclass_secondary_to_primary_mean,misclass_secondary_to_primary_mcse,net_primary_rate_mean,net_primary_rate_mcse,unsafe_secondary_rate_mean,unsafe_secondary_rate_mcse,over_escalation_rate_mean,over_escalation_rate_mcse,over_escalation_burden_hours_per_100_mean,over_escalation_burden_hours_per_100_mcse,scenario_id
0.2,0.05,1000,100,0.19674506066248548,0.0034171517299303525,0.012468079979383307,0.0016621675863085761,0.2374944576632749,0.0013455113876640209,0.27527999999999997,0.0014312585406211584,0.012468079979383307,0.0016621675863085761,0.2374944576632749,0.0013455113876640209,18.79333333333333,0.10643888768946312,0
0.3,0.05,1000,100,0.2968008535939761,0.004285466601502008,0.003603102142473438,0.0008634284824123844,0.16879709601143625,0.001238443141080323,0.20962,0.0012955853557915103,0.003603102142473438,0.0008634284824123844,0.16879709601143625,0.001238443141080323,13.372499999999997,0.0983124656851353,1
0.4,0.05,1000,100,0.3975074957006357,0.004494050346410976,0.0025654988060895335,0.0007544886465242312,0.12076162291174423,0.0010442059997600723,0.16422,0.001210357656465913,0.0025654988060895335,0.0007544886465242312,0.12076162291174423,0.0010442059997600723,9.564166666666665,0.08234136024612988,2
0.5,0.05,1000,100,0.497566802701893,0.0051168562943245885,0.0007556826122863858,0.0003723264283388791,0.08548434171187243,0.0009848912281534767,0.13041999999999998,0.0010532470236982836,0.0007556826122863858,0.0003723264283388791,0.08548434171187243,0.0009848912281534767,6.774166666666665,0.07884633046097006,3
0.6,0.05,1000,100,0.6056519949001461,0.004911473997062571,0.0,0.0,0.060362307727112735,0.0008533082752398023,0.10773000000000003,0.0010273880779074005,0.0,0.0,0.060362307727112735,0.0008533082752398023,4.776666666666667,0.0675746251660338,4
0.7,0.05,1000,100,0.7017085156117964,0.004511775106323665,0.0,0.0,0.04164150907211101,0.0006295763980569541,0.09064999999999998,0.0009486167494693193,0.0,0.0,0.04164150907211101,0.0006295763980569541,3.2924999999999995,0.04973971251547735,5
0.8,0.05,1000,100,0.7124266461004276,0.004222811078426239,0.0,0.0,0.03974818035351569,0.0006124595713384854,0.08882999999999999,0.0008091715429119996,0.0,0.0,0.03974818035351569,0.0006124595713384854,3.1433333333333335,0.04867895698322003,6
0.2,0.1,1000,100,0.20126618833287604,0.003566084124309748,0.0280681299467692,0.0015177034175952468,0.33678819957191564,0.0013558862151763326,0.40018,0.0012817585773089442,0.0280681299467692,0.0015177034175952468,0.33678819957191564,0.0013558862151763326,25.265833333333333,0.10792590440552652,7
0.3,0.1,1000,100,0.29765474333390474,0.0034356763764274573,0.014865155158394028,0.0013921764442903412,0.2559549192528433,0.0013929931731209333,0.3285700000000001,0.001534469605335006,0.014865155158394028,0.0013921764442903412,0.2559549192528433,0.0013929931731209333,19.204166666666666,0.105238592424918,8
0.4,0.1,1000,100,0.3991113853329582,0.0036907310572616334,0.006224199620262763,0.0007948464718715827,0.19445704886382373,0.0014025219365713288,0.27438000000000007,0.0014726997129233244,0.006224199620262763,0.0007948464718715827,0.19445704886382373,0.0014025219365713288,14.584166666666668,0.1062344924974185,9
0.5,0.1,1000,100,0.499292944925284,0.003882288815523898,0.0029730890942213533,0.0005930277586373271,0.14352072461877088,0.0011191981819116945,0.22939999999999997,0.0012736648783028533,0.0029730890942213533,0.0005930277586373271,0.14352072461877088,0.0011191981819116945,10.757499999999999,0.08550286157680728,10
0.6,0.1,1000,100,0.5980364656938577,0.0038381749903719925,0.0006970056810717704,0.00025628920737361127,0.1066737740560276,0.0011231234970839998,0.19635000000000002,0.0012845920627486249,0.0006970056810717704,0.00025628920737361127,0.1066737740560276,0.0011231234970839998,7.996666666666667,0.0849499753766787,11
0.7,0.1,1000,100,0.7011768030695926,0.0038764561421034517,9.900990099009902e-05,9.900990099009902e-05,0.07352444425191113,0.0008584774624784819,0.16599999999999998,0.0011907047399661167,9.900990099009902e-05,9.900990099009902e-05,0.07352444425191113,0.0008584774624784819,5.515833333333332,0.06516291204835598,12
0.8,0.1,1000,100,0.7970024831954432,0.0031460792586701356,0.0,0.0,0.04683814046681569,0.0007498385820810916,0.14061,0.001174638994617822,0.0,0.0,0.04683814046681569,0.0007498385820810916,3.519166666666666,0.05645552613320002,13
0.2,0.2,1000,100,0.20530018631010946,0.00286332545553781,0.051524370504685,0.001654025642818802,0.42616931524755375,0.0016453828504160721,0.53101,0.0015059139310321721,0.051524370504685,0.001654025642818802,0.42616931524755375,0.0016453828504160721,28.38583333333333,0.11909247531547776,14
